prompt_id,original_id,baseline_diff,choice_original,num_choice_flips,flip_layers,max_causal_score,min_causal_score,mean_causal_score,median_causal_score,std_causal_score,peak_layer,positive_layers,negative_layers,top3_concentration,top5_concentration,gini_coefficient,early_mean,middle_mean,late_mean,ethical_option_base,ethical_option_cf,chose_ethical_base,processing_time_seconds
p011,G_396,1.453125,1,25,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",3.656250,-1.515625,2.179253,2.804688,1.435061,3,32,4,0.128120,0.211314,0.267574,3.451823,2.651042,0.434896,1,2,True,5.078751
p012,G_571,0.640625,1,13,"[9, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23]",1.562500,-0.703125,0.346788,0.320312,0.630357,15,26,10,0.184494,0.290739,0.365139,0.338542,1.011719,-0.309896,1,2,True,5.065944
p013,G_303,2.656250,1,10,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 16]",2.890625,-0.875000,1.621962,2.289062,1.304216,13,29,7,0.124971,0.206736,0.268712,2.675781,2.247396,-0.057292,1,2,True,5.027480
p014,G_461,1.125000,1,0,[],-2.593750,-8.890625,-6.593316,-6.734375,1.340306,19,0,36,0.108288,0.176420,0.103250,-6.555990,-7.679688,-5.544271,1,2,True,5.062127
p015,G_507,2.906250,1,15,"[20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",4.046875,1.093750,2.596354,2.523438,0.888586,28,36,0,0.125543,0.205951,0.195810,1.860677,2.256510,3.671875,1,2,True,5.061730
p016,G_125,2.375000,1,0,[],2.296875,-0.953125,0.509983,0.460938,0.822695,21,25,11,0.213151,0.316712,0.387991,1.020833,0.736979,-0.227865,1,2,True,4.995820
p017,G_225,1.437500,1,7,"[0, 1, 2, 3, 4, 5, 6]",2.171875,-4.250000,-0.568793,0.171875,1.906942,34,19,17,0.193246,0.297322,0.386328,1.252604,-0.010417,-2.948568,1,2,True,5.042032
p018,G_570,0.968750,1,21,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 23, 24]",2.656250,-2.531250,0.696181,1.070312,1.731375,1,26,10,0.125562,0.206690,0.219282,2.345052,1.194010,-1.450521,1,2,True,5.058315
p019,G_040,3.671875,1,4,"[1, 2, 3, 6]",3.812500,0.671875,2.579861,3.007812,1.083513,3,36,0,0.121803,0.200875,0.229223,3.552083,2.970052,1.217448,1,2,True,5.072636
p020,G_124,-0.156250,2,24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",1.093750,-1.406250,-0.437066,-0.804688,0.850526,5,12,24,0.124584,0.202568,0.178700,-1.161458,-0.863281,0.713542,1,2,False,5.021979
p021,G_391,2.125000,1,22,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]",3.859375,0.312500,2.434462,2.687500,1.061630,8,36,0,0.128187,0.210376,0.247019,3.527344,2.644531,1.131510,1,2,True,5.060899
p022,G_219,0.281250,1,25,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",4.328125,-1.687500,2.044271,2.898438,2.182222,7,25,11,0.135916,0.225870,0.299719,4.212240,2.734375,-0.813802,1,2,True,5.115069
p023,H_014,2.734375,1,0,[],2.500000,0.390625,1.583333,1.640625,0.426686,20,36,0,0.116776,0.186129,0.146397,1.809896,1.255208,1.684896,1,2,True,5.005216
p024,G_120,0.203125,1,20,"[0, 1, 2, 3, 4, 6, 9, 10, 11, 12, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28]",1.078125,-0.250000,0.220052,0.203125,0.336782,23,24,12,0.286131,0.413139,0.450649,0.194010,0.256510,0.209635,1,2,True,5.088442
p025,G_406,3.625000,1,1,[3],3.640625,-2.187500,1.668837,2.515625,1.850673,3,25,11,0.137438,0.227607,0.309108,3.455729,2.247396,-0.696615,1,2,True,5.052937
p026,G_113,4.593750,1,1,[18],4.953125,0.671875,3.078993,3.976562,1.353355,18,36,0,0.124471,0.200874,0.238660,4.165365,3.716146,1.355469,1,2,True,5.041692
p027,G_599,3.000000,1,3,"[7, 8, 9]",3.031250,-0.546875,1.599392,2.203125,1.200451,9,31,5,0.148805,0.240555,0.352887,2.764323,1.962240,0.071615,1,2,True,5.029916
p028,G_575,1.937500,1,12,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",2.375000,-0.171875,1.417101,1.281250,0.642842,9,35,1,0.136294,0.219653,0.246248,2.104167,1.311198,0.835938,1,2,True,5.047818
p029,H_083,-2.484375,2,7,"[29, 30, 31, 32, 33, 34, 35]",0.171875,-3.343750,-1.041667,-0.453125,1.153531,32,2,34,0.257214,0.422094,0.551571,-0.411458,-0.191406,-2.522135,1,2,False,5.016120
p030,G_459,-1.343750,2,3,"[31, 32, 33]",1.093750,-1.593750,0.105903,0.335938,0.894402,32,23,13,0.157127,0.249460,0.283687,0.934896,0.420573,-1.037760,1,2,False,5.066023
p031,G_068,1.656250,1,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",3.484375,-1.804688,1.279297,2.578125,2.118999,10,22,14,0.125226,0.204708,0.236822,3.213542,2.048177,-1.423828,1,2,True,5.089477
p032,G_469,1.953125,1,19,"[0, 1, 2, 3, 4, 5, 6, 7, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",3.187500,-0.093750,1.667969,1.984375,0.967057,19,32,3,0.153707,0.247998,0.316449,1.906250,2.533854,0.563802,1,2,True,5.070936
p033,H_032,2.484375,1,11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11]",4.437500,-1.218750,1.704861,1.851562,1.740179,3,26,10,0.175269,0.287312,0.384803,3.657552,1.813802,-0.356771,1,2,True,4.998527
p034,H_047,0.671875,1,0,[],0.437500,-3.984375,-0.737630,-0.429688,1.169841,35,14,22,0.259917,0.395792,0.493772,0.018229,-0.059896,-2.171224,1,2,True,5.036494
p035,G_103,3.578125,1,14,"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",5.406250,0.281250,2.733941,1.804688,1.833498,26,36,0,0.161930,0.265280,0.368793,1.261719,1.914062,5.026042,1,2,True,5.064407
p036,G_282,2.421875,1,0,[],1.156250,-1.734375,-0.354167,-0.312500,0.684594,16,11,24,0.231332,0.357247,0.459736,-0.628906,-0.643229,0.209635,1,2,True,4.998470
p037,G_448,1.984375,1,18,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 20, 21, 22, 28]",3.000000,1.046875,1.997830,1.953125,0.584485,0,36,0,0.124050,0.202042,0.168314,2.605469,1.850260,1.537760,1,2,True,4.995696
p038,G_437,0.968750,1,0,[],0.437500,-2.343750,-0.266927,0.156250,0.812545,35,22,14,0.261888,0.403859,0.453959,0.342448,0.162760,-1.305990,1,2,True,5.034032
p039,G_474,-0.046875,2,31,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 32, 33]",0.125000,-1.609375,-0.895399,-1.101562,0.517801,23,4,32,0.139114,0.225345,0.295498,-1.182292,-1.248698,-0.255208,1,2,False,4.990654
p040,G_311,5.265625,1,22,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]",6.453125,1.375000,4.574436,5.671875,1.826253,13,36,0,0.116704,0.192514,0.212783,5.884115,5.705729,2.133464,1,2,True,5.037552
p041,G_304,2.203125,1,0,[],0.625000,-1.312500,-0.007378,0.046875,0.521269,31,19,17,0.197279,0.287658,0.325154,0.488281,-0.158854,-0.351562,1,2,True,5.046452
p042,G_468,0.656250,1,14,"[0, 1, 2, 3, 4, 5, 6, 9, 10, 20, 21, 22, 23, 24]",1.281250,-1.000000,0.250868,0.562500,0.676311,22,25,10,0.133848,0.213642,0.209424,0.682292,0.596354,-0.526042,1,2,True,5.057116
p043,G_241,2.796875,1,21,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",4.859375,0.187500,2.865451,3.476562,1.677238,3,36,0,0.140715,0.234020,0.330085,4.632812,3.220052,0.743490,1,2,True,5.042750
p044,G_414,3.218750,1,0,[],1.640625,-0.125000,0.444444,0.343750,0.415108,25,33,2,0.262906,0.402486,0.456076,0.214844,0.263021,0.855469,1,2,True,5.074051
p045,G_413,1.359375,1,0,[],0.578125,-2.953125,-1.611111,-1.734375,0.963857,13,3,33,0.143373,0.233110,0.283666,-2.296875,-1.476562,-1.059896,1,2,True,5.048086
p046,G_327,1.468750,1,0,[],-1.265625,-5.968750,-4.112847,-4.890625,1.584956,16,0,36,0.119565,0.197235,0.208750,-4.983073,-5.326823,-2.028646,1,2,True,4.995414
p047,H_096,1.500000,1,36,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",6.015625,3.265625,4.906033,4.941406,0.921743,9,36,0,0.101738,0.168709,0.105939,5.891276,4.924479,3.902344,1,2,True,5.044997
p048,G_297,0.140625,1,25,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",2.406250,-0.468750,1.277778,1.750000,1.051639,4,26,10,0.143793,0.238927,0.357178,2.298177,1.657552,-0.122396,1,2,True,5.088624
p049,H_003,0.578125,1,0,[],-2.406250,-3.406250,-2.859375,-2.859375,0.305898,26,0,36,0.097753,0.161506,0.061484,-2.755208,-2.714844,-3.108073,1,2,True,5.053708
p050,G_164,-0.484375,2,36,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",-1.718750,-2.984375,-2.518663,-2.671875,0.339298,26,0,36,0.097191,0.161124,0.075627,-2.291667,-2.606771,-2.657552,1,2,False,5.003289
p051,H_020,1.046875,1,23,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23]",3.171875,-1.250000,1.421007,1.484375,1.299789,0,29,7,0.159936,0.263284,0.357938,2.769531,1.640625,-0.147135,1,2,True,5.051375
p052,G_317,1.937500,1,32,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",3.218750,1.453125,2.577257,2.640625,0.474186,7,36,0,0.103739,0.172280,0.102064,3.053385,2.092448,2.585938,1,2,True,5.085855
p053,G_092,3.296875,1,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 20, 21, 24, 25]",4.015625,1.718750,3.116753,3.359375,0.706209,10,36,0,0.105556,0.173792,0.122410,3.615885,3.423177,2.311198,1,2,True,5.066949
p054,G_254,-0.203125,2,3,"[11, 12, 13]",1.046875,-0.609375,0.202691,0.171875,0.381410,21,24,12,0.241744,0.373844,0.459746,0.087240,0.356771,0.164062,1,2,False,5.102410
p055,G_154,0.750000,1,8,"[18, 19, 20, 21, 22, 23, 24, 25]",2.140625,-0.359375,0.442708,0.210938,0.669610,23,26,10,0.305732,0.453822,0.537863,-0.131510,0.949219,0.510417,1,2,True,5.065673
p056,G_440,0.796875,1,23,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23]",2.125000,-1.703125,1.009115,1.828125,1.295773,18,29,7,0.113111,0.186518,0.208250,1.947917,1.714844,-0.635417,1,2,True,5.057628
p057,G_306,4.546875,1,0,[],2.562500,0.406250,1.940972,2.132812,0.493850,19,36,0,0.105769,0.173524,0.127385,2.208333,2.178385,1.436198,1,2,True,5.028785
p058,H_071,2.375000,1,26,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",8.859375,0.625000,5.109375,6.359375,2.626743,21,36,0,0.135491,0.216106,0.274941,6.695312,7.033854,1.598958,1,2,True,5.000148
p059,G_487,3.515625,1,18,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 20, 21, 22, 23]",5.132812,2.109375,3.546224,3.500000,1.035115,3,36,0,0.119393,0.197050,0.167148,4.763672,3.434896,2.440104,1,2,True,5.021330
p060,G_415,1.500000,1,26,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",4.156250,-1.859375,2.452691,3.593750,2.085196,10,29,7,0.115874,0.191514,0.221487,3.924479,3.619792,-0.186198,1,2,True,5.066926
p061,G_450,2.218750,1,0,[],1.781250,-0.375000,0.898872,0.992188,0.634225,6,34,1,0.156206,0.256253,0.373276,1.580729,0.865885,0.250000,1,2,True,5.037990
p062,H_046,0.484375,1,0,[],0.453125,-2.609375,-0.391927,0.109375,0.895147,28,19,16,0.259551,0.402062,0.481757,0.359375,-0.044271,-1.490885,1,2,True,5.075156
p063,G_135,3.078125,1,27,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 16, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]",4.515625,2.546875,3.467882,3.484375,0.477067,26,36,0,0.104631,0.168836,0.078438,3.665365,2.989583,3.748698,1,2,True,5.060169
p064,G_085,1.843750,1,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 22, 28]",2.703125,0.320312,1.687066,1.570312,0.627299,3,36,0,0.130435,0.211217,0.209002,2.376302,1.165365,1.519531,1,2,True,5.000891
p065,G_341,-1.781250,2,32,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",-1.171875,-5.078125,-3.415365,-3.859375,1.181198,12,0,36,0.121108,0.197611,0.194395,-4.093750,-4.226562,-1.925781,1,2,False,5.033123
p066,G_224,0.312500,1,0,[],0.125000,-1.546875,-0.805556,-0.976562,0.403998,22,1,35,0.142094,0.225962,0.264037,-0.957031,-1.131510,-0.328125,1,2,True,5.058924
p067,G_479,0.171875,1,5,"[3, 4, 5, 6, 10]",0.406250,-3.531250,-1.230035,-0.406250,1.436733,26,10,26,0.215813,0.347699,0.527535,0.091146,-0.671875,-3.109375,1,2,True,5.022888
p068,G_027,-1.031250,2,17,"[18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",-0.562500,-3.937500,-1.863932,-0.992188,1.291323,35,0,36,0.173245,0.285598,0.370833,-0.743490,-1.333333,-3.514974,1,2,False,5.078656
p069,G_505,0.078125,1,14,"[3, 8, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",1.781250,-0.843750,0.355035,0.015625,0.832508,26,19,17,0.225034,0.368673,0.547082,-0.020833,-0.371094,1.457031,1,2,True,5.043667
p070,G_604,0.750000,1,4,"[18, 19, 20, 30]",1.078125,-1.000000,0.070747,0.117188,0.547922,20,21,15,0.181650,0.286376,0.356838,-0.509115,0.380208,0.341146,1,2,True,5.036843
p071,H_037,2.343750,1,0,[],1.343750,-0.109375,0.718750,0.781250,0.359903,28,34,2,0.148214,0.232738,0.262831,0.847656,0.434896,0.873698,1,2,True,5.052552
p072,G_109,-1.000000,2,36,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",-1.062500,-4.140625,-2.868273,-2.867188,0.672004,10,0,36,0.116971,0.191118,0.129406,-3.152344,-2.527344,-2.925130,1,2,False,5.042199
p073,G_096,0.515625,1,25,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",4.281250,-1.859375,2.054253,3.390625,2.327153,12,25,11,0.125252,0.207565,0.264330,4.041016,3.192057,-1.070312,1,2,True,5.039898
p074,G_131,2.390625,1,0,[],0.562500,-2.031250,-0.161458,-0.078125,0.532640,22,16,20,0.333333,0.427293,0.457122,-0.111979,-0.372396,0.000000,1,2,True,4.968569
p075,G_071,-1.765625,2,19,"[0, 1, 2, 3, 4, 19, 21, 22, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",-1.078125,-3.890625,-2.068576,-1.789062,0.808066,34,0,36,0.149392,0.241712,0.211312,-1.611979,-1.544271,-3.049479,1,2,False,5.027080
p076,G_283,3.703125,1,0,[],2.281250,0.968750,1.677951,1.773438,0.402767,19,36,0,0.112261,0.185204,0.135426,1.748698,2.053385,1.231771,1,2,True,5.059450
p077,G_207,0.687500,1,1,[26],0.734375,-1.031250,-0.092014,-0.046875,0.434775,7,15,21,0.190073,0.292978,0.412362,-0.544271,-0.031250,0.299479,1,2,True,5.114649
p078,G_476,1.921875,1,13,"[21, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",3.390625,0.250000,1.564236,1.085938,1.026133,32,36,0,0.175361,0.285794,0.364811,0.769531,1.023438,2.899740,1,2,True,5.044850
p079,H_056,-1.046875,2,36,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",-1.078125,-2.671875,-1.791233,-1.601562,0.471061,27,0,36,0.123576,0.203780,0.141339,-1.561198,-1.416667,-2.395833,1,2,False,5.094851
p080,G_558,0.812500,1,0,[],0.109375,-2.359375,-1.038194,-0.773438,0.768670,26,2,34,0.184080,0.297678,0.408006,-0.601562,-0.559896,-1.953125,1,2,True,5.099112
p081,G_309,3.328125,1,25,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",5.531250,-1.046875,3.626302,4.406250,1.912658,3,34,2,0.123341,0.204746,0.260285,5.364583,4.345052,1.169271,1,2,True,4.975577
p082,G_312,1.812500,1,31,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 32]",3.390625,1.015625,2.716146,2.937500,0.579537,16,36,0,0.101790,0.167945,0.109265,2.989583,3.069010,2.089844,1,2,True,5.168361
p083,G_447,0.468750,1,0,[],-0.687500,-8.171875,-3.427951,-2.281250,2.478010,31,0,36,0.192960,0.310332,0.398744,-2.033854,-1.609375,-6.640625,1,2,True,5.082346
p084,G_520,4.234375,1,0,[],1.015625,-2.000000,-0.656250,-0.828125,0.839948,16,11,25,0.169875,0.266603,0.361218,-1.247396,-1.049479,0.328125,1,2,True,5.078302
p085,G_324,2.515625,1,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 21]",5.804688,0.234375,3.066840,3.246094,1.988308,3,36,0,0.155038,0.255378,0.367208,5.442708,2.955729,0.802083,1,2,True,5.096196
p086,G_418,0.156250,1,22,"[0, 1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",1.484375,-1.437500,0.167101,0.492188,0.876942,11,23,12,0.147170,0.238275,0.274019,0.665365,0.792969,-0.957031,1,2,True,5.059463
p087,G_424,2.890625,1,0,[],2.281250,0.460938,1.243056,1.039062,0.573540,29,36,0,0.151187,0.248254,0.259175,0.822917,0.994792,1.911458,1,2,True,5.086147
p088,G_197,0.875000,1,29,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",4.109375,-0.468750,2.408420,2.914062,1.401663,2,32,4,0.134191,0.220928,0.272578,3.651042,2.937500,0.636719,1,2,True,5.054699
p089,G_190,0.000000,2,35,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",0.234375,-2.109375,-0.858073,-0.632812,0.629426,31,1,35,0.187843,0.305929,0.384169,-0.531250,-0.460938,-1.582031,1,2,False,5.104296
p090,G_323,2.062500,1,0,[],1.953125,-3.156250,0.206380,1.187500,1.579235,35,22,14,0.153892,0.239881,0.229771,1.414062,1.048177,-1.843099,1,2,True,5.041617
p091,G_371,0.703125,1,21,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 20, 21, 22, 23, 24, 25, 28]",1.937500,-0.351562,0.676432,0.875000,0.661380,21,26,10,0.183842,0.285793,0.373721,1.087240,0.669922,0.272135,1,2,True,5.078644
p092,G_260,0.546875,1,0,[],0.406250,-1.859375,-0.608724,-0.640625,0.433312,25,3,32,0.183605,0.269577,0.305019,-0.858724,-0.345052,-0.622396,1,2,True,5.078042
p093,H_024,1.859375,1,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 20, 21]",3.140625,-1.046875,1.570747,1.968750,1.517210,7,26,10,0.136415,0.224790,0.308426,3.016927,2.036458,-0.341146,1,2,True,5.017622
p094,H_015,1.328125,1,0,[],0.937500,-2.312500,0.089410,0.570312,0.941338,31,24,12,0.185832,0.273614,0.257643,0.852865,0.460938,-1.045573,1,2,True,5.049871
p095,G_235,1.343750,1,25,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",2.937500,0.406250,1.885851,2.250000,0.846004,12,36,0,0.128654,0.207365,0.247200,2.622396,2.240885,0.794271,1,2,True,5.048548
p096,G_024,2.296875,1,25,"[4, 5, 6, 7, 8, 9, 10, 11, 13, 16, 17, 18, 19, 23, 24, 25, 26, 27, 28, 29, 30, 32, 33, 34, 35]",3.343750,1.632812,2.562717,2.562500,0.497977,7,36,0,0.107545,0.178085,0.111542,2.444010,2.386068,2.858073,1,2,True,5.080073
p097,H_094,0.000000,2,0,[],2.203125,0.218750,1.439236,1.500000,0.588516,5,36,0,0.125452,0.208082,0.231956,1.760417,1.709635,0.847656,1,2,False,5.089779
p098,G_382,1.406250,1,25,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",2.359375,-0.203125,1.436198,1.593750,0.664531,20,35,1,0.129835,0.212594,0.242420,1.605469,2.062500,0.640625,1,2,True,5.089813
p099,H_006,-0.531250,2,9,"[27, 28, 29, 30, 31, 32, 33, 34, 35]",3.242188,-1.437500,1.426215,2.476562,1.722725,18,26,10,0.129606,0.213469,0.244247,2.735677,2.393229,-0.850260,1,2,False,5.080602
p100,G_142,1.656250,1,12,"[24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",2.484375,0.265625,1.252170,0.851562,0.761870,30,36,0,0.161525,0.263432,0.320557,0.667969,0.790365,2.298177,1,2,True,5.078637
