prompt_id,original_id,baseline_diff,choice_original,num_choice_flips,flip_layers,max_causal_score,min_causal_score,mean_causal_score,peak_layer,ethical_option_base,ethical_option_cf
p020,G_124,-6.804688,2,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",-5.101562,-12.531250,-9.263672,35,1,2
p021,G_391,1.007812,1,31,"[4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",5.382812,-0.664062,3.846029,28,1,2
p022,G_219,-3.546875,2,21,"[3, 4, 5, 6, 8, 9, 10, 11, 13, 14, 17, 18, 19, 20, 21, 23, 24, 25, 28, 29, 30]",-0.453125,-4.429688,-3.248698,35,1,2
p023,H_014,-0.953125,2,14,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 23]",4.085938,-3.671875,0.042969,27,1,2
p024,G_120,-5.734375,2,25,"[0, 1, 2, 3, 4, 5, 6, 7, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",-4.687500,-7.929688,-6.215929,8,1,2
p025,G_406,-2.593750,2,12,"[0, 1, 2, 3, 4, 5, 9, 10, 11, 13, 14, 17]",0.500000,-5.078125,-1.837240,31,1,2
p026,G_113,-2.765625,2,29,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 31, 32, 33, 34, 35]",-1.531250,-6.664062,-4.143229,27,1,2
p027,G_599,-0.734375,2,30,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]",1.039062,-4.976562,-2.157227,3,1,2
p028,G_575,0.140625,1,3,"[0, 1, 2]",0.765625,-3.906250,-2.145616,1,1,2
p029,H_083,-4.312500,2,25,"[0, 1, 3, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29]",-2.359375,-11.304688,-6.187066,35,1,2
p030,G_459,-5.218750,2,9,"[27, 28, 29, 30, 31, 32, 33, 34, 35]",-0.343750,-8.757812,-3.532552,1,1,2
p031,G_068,-7.085938,2,35,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35]",-6.945312,-11.539062,-9.291016,28,1,2
p032,G_469,-2.921875,2,35,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35]",-2.187500,-8.023438,-5.563097,29,1,2
p033,H_032,-2.265625,2,35,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",-1.867188,-4.679688,-3.155816,4,1,2
p034,H_047,-3.093750,2,17,"[0, 1, 2, 3, 4, 8, 10, 11, 12, 19, 22, 30, 31, 32, 33, 34, 35]",0.664062,-7.687500,-3.047743,7,1,2
p035,G_103,-8.078125,2,36,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",-8.476562,-12.773438,-10.607856,30,1,2
p036,G_282,0.000000,2,30,"[1, 2, 3, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",1.187500,-4.476562,-1.337457,6,1,2
p037,G_448,3.414062,1,1,[4],3.523438,-0.195312,1.439019,4,1,2
p038,G_437,-0.343750,2,23,"[2, 3, 4, 6, 7, 10, 11, 12, 13, 14, 15, 16, 19, 20, 21, 22, 23, 24, 31, 32, 33, 34, 35]",3.539062,-5.421875,-1.164497,9,1,2
p039,G_474,-3.765625,2,25,"[0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",-2.234375,-6.109375,-4.152344,20,1,2
p040,G_311,-5.359375,2,36,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",-6.328125,-12.539062,-9.175347,4,1,2
p041,G_304,-2.125000,2,35,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",-0.992188,-4.726562,-3.471137,21,1,2
p042,G_468,-3.250000,2,4,"[3, 6, 7, 8]",-1.085938,-3.898438,-2.167969,10,1,2
p043,G_241,1.867188,1,4,"[4, 9, 10, 11]",3.203125,-1.968750,0.577691,10,1,2
p044,G_414,-7.437500,2,16,"[0, 3, 4, 11, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 29, 31]",-4.710938,-9.203125,-7.168403,15,1,2
p045,G_413,-3.000000,2,14,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 17, 18, 19, 20]",1.281250,-5.531250,-2.283637,30,1,2
p046,G_327,-10.109375,2,36,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",-10.453125,-13.812500,-11.963108,2,1,2
p047,H_096,-1.875000,2,36,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",-2.406250,-9.773438,-5.141927,9,1,2
p048,G_297,-3.515625,2,36,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",-6.335938,-8.523438,-6.902778,17,1,2
p049,H_003,-0.343750,2,36,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",-2.507812,-6.140625,-4.067491,0,1,2
p050,G_164,-0.812500,2,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",1.031250,-6.742188,-3.465712,34,1,2
p051,H_020,-8.335938,2,17,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 15, 17, 22, 23, 30]",-7.031250,-12.437500,-8.907769,35,1,2
p052,G_317,-1.078125,2,31,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 32, 33]",0.156250,-6.117188,-2.984375,30,1,2
p053,G_092,-4.656250,2,9,"[27, 28, 29, 30, 31, 32, 33, 34, 35]",-0.070312,-6.851562,-2.172526,4,1,2
p054,G_254,-4.156250,2,5,"[31, 32, 33, 34, 35]",2.390625,-5.007812,-0.193359,7,1,2
p055,G_154,-0.062500,2,32,"[0, 1, 2, 3, 5, 7, 8, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",0.375000,-3.242188,-1.380425,13,1,2
p056,G_440,-1.421875,2,26,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27]",1.187500,-7.023438,-2.675564,29,1,2
p057,G_306,-5.992188,2,29,"[0, 1, 2, 3, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 25, 26, 27, 28, 29, 30, 33, 34, 35]",-4.656250,-11.398438,-7.739366,7,1,2
p058,H_071,2.718750,1,5,"[31, 32, 33, 34, 35]",3.421875,-0.914062,1.460720,31,1,2
p059,G_487,3.890625,1,14,"[14, 15, 16, 19, 21, 27, 28, 29, 30, 31, 32, 33, 34, 35]",7.804688,0.070312,3.222873,30,1,2
p060,G_415,-3.312500,2,24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 30, 31, 32, 33, 34, 35]",-1.445312,-8.390625,-4.567057,21,1,2
p061,G_450,-1.171875,2,21,"[1, 2, 3, 4, 5, 6, 7, 10, 11, 18, 21, 22, 23, 24, 25, 29, 31, 32, 33, 34, 35]",0.171875,-2.031250,-1.099826,28,1,2
p062,H_046,-9.031250,2,36,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",-10.531250,-15.960938,-12.398763,15,1,2
p063,G_135,-4.406250,2,34,"[0, 1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",-2.273438,-9.390625,-7.106988,6,1,2
p064,G_085,-0.859375,2,12,"[0, 1, 2, 4, 5, 9, 10, 11, 12, 33, 34, 35]",3.648438,-2.414062,0.462674,24,1,2
p065,G_341,-4.500000,2,21,"[14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",-2.695312,-7.312500,-5.077474,2,1,2
p066,G_224,-2.250000,2,15,"[21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",1.812500,-7.945312,-2.518446,2,1,2
p067,G_479,-4.968750,2,27,"[1, 3, 4, 5, 7, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",-2.390625,-12.742188,-7.427300,11,1,2
p068,G_027,-3.125000,2,36,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",-3.250000,-8.500000,-5.876519,29,1,2
p069,G_505,-0.937500,2,13,"[0, 1, 2, 20, 26, 27, 28, 30, 31, 32, 33, 34, 35]",1.054688,-5.015625,-1.067274,10,1,2
p070,G_604,-2.406250,2,36,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",-2.539062,-8.484375,-5.990668,30,1,2
p071,H_037,-2.218750,2,22,"[3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 17, 18, 26, 27, 28, 30, 31, 32, 33, 34, 35]",4.238281,-5.648438,-2.299262,21,1,2
p072,G_109,-3.562500,2,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30]",0.460938,-8.054688,-4.531467,35,1,2
p073,G_096,0.984375,1,4,"[3, 4, 12, 16]",1.648438,-3.765625,-1.178602,16,1,2
p074,G_131,-6.585938,2,19,"[0, 1, 2, 18, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",-4.828125,-9.765625,-7.012153,9,1,2
p075,G_071,-8.242188,2,36,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",-9.750000,-14.890625,-12.523655,30,1,2
p076,G_283,-1.812500,2,15,"[6, 7, 10, 11, 12, 14, 27, 28, 29, 30, 31, 32, 33, 34, 35]",2.546875,-4.726562,-1.701823,4,1,2
p077,G_207,-6.914062,2,11,"[0, 1, 2, 11, 29, 30, 31, 32, 33, 34, 35]",-4.039062,-8.453125,-6.049913,5,1,2
p078,G_476,1.250000,1,20,"[3, 4, 7, 8, 9, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30]",4.296875,-5.359375,1.034288,4,1,2
p079,H_056,-3.937500,2,9,"[3, 18, 19, 29, 31, 32, 33, 34, 35]",1.375000,-6.546875,-1.992622,2,1,2
p080,G_558,-8.195312,2,20,"[0, 1, 2, 3, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 25]",-4.343750,-12.523438,-8.648329,29,1,2
p081,G_309,1.046875,1,0,[],0.687500,-5.507812,-1.870009,12,1,2
p082,G_312,-0.750000,2,33,"[0, 1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",0.328125,-7.031250,-3.483724,9,1,2
p083,G_447,-2.539062,2,6,"[7, 8, 9, 11, 12, 13]",2.195312,-3.062500,-1.070530,27,1,2
p084,G_520,3.953125,1,10,"[17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",4.703125,0.414062,2.876085,21,1,2
p085,G_324,-2.468750,2,14,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 17, 20, 21, 24]",0.125000,-6.718750,-2.328342,26,1,2
p086,G_418,-4.382812,2,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",-2.757812,-7.789062,-5.069878,28,1,2
p087,G_424,-3.921875,2,27,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 30]",-1.968750,-9.703125,-6.229818,31,1,2
p088,G_197,-5.109375,2,20,"[0, 1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 19, 21, 22, 23, 24, 25]",-2.031250,-10.460938,-5.620009,30,1,2
p089,G_190,-6.789062,2,0,[],-2.007812,-6.734375,-4.203342,15,1,2
p090,G_323,-4.328125,2,26,"[0, 1, 8, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",-1.812500,-7.140625,-5.176649,11,1,2
p091,G_371,4.445312,1,6,"[14, 21, 23, 24, 25, 26]",5.093750,2.726562,3.643663,24,1,2
p092,G_260,-0.390625,2,23,"[10, 12, 13, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",1.492188,-6.078125,-2.191406,2,1,2
p093,H_024,-1.515625,2,31,"[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 32, 33]",-0.156250,-5.648438,-3.244141,21,1,2
p094,H_015,-2.906250,2,2,"[32, 35]",0.648438,-3.101562,-0.854167,14,1,2
p095,G_235,-1.656250,2,9,"[2, 4, 9, 29, 31, 32, 33, 34, 35]",-0.164062,-2.453125,-1.346571,12,1,2
p096,G_024,-5.828125,2,33,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 31, 32, 33, 34, 35]",-4.843750,-12.023438,-8.982856,30,1,2
p097,H_094,-4.593750,2,23,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 14, 15, 17, 18, 19, 22, 24, 31, 32, 33, 34, 35]",-3.359375,-6.218750,-4.872179,27,1,2
p098,G_382,-5.703125,2,1,[4],-1.570312,-6.273438,-3.776259,14,1,2
p099,H_006,-5.164062,2,36,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",-5.953125,-10.843750,-8.325521,30,1,2
p100,G_142,-6.453125,2,3,"[31, 34, 35]",-3.093750,-6.671875,-4.571398,17,1,2
